table,column,null_pct
Restaurants,location_id,0.0
Restaurants,name,0.0
Restaurants,city,0.0
Restaurants,region,0.0
Restaurants,address,0.0
Restaurants,location_type,0.0
Restaurants,seating_capacity,0.0
Restaurants,opening_date,0.0
Restaurants,latitude,0.0
Restaurants,longitude,0.0
Menu_Categories,category_id,0.0
Menu_Categories,category_name,0.0
Menu_Categories,description,0.0
Menu_Items,item_id,0.0
Menu_Items,item_name,0.0
Menu_Items,category_id,0.0
Menu_Items,base_price,0.0
Menu_Items,base_cost,0.0
Menu_Items,description,0.0
Menu_Items,is_active,0.0
Menu_Items,launch_date,0.0
Menu_Items,is_seasonal,0.0
Menu_Items,season,0.0
Pricing_History,price_id,0.0
Pricing_History,item_id,0.0
Pricing_History,location_id,47.445
Pricing_History,price,0.0
Pricing_History,cost,0.0
Pricing_History,effective_start_date,0.0
Pricing_History,effective_end_date,41.814
Pricing_History,change_reason,0.0
Customers,customer_id,0.0
Customers,signup_date,0.0
Customers,age_group,0.0
Customers,gender,0.0
Customers,home_location_id,8.113
Customers,preferred_channel,0.0
Customers,loyalty_member,0.0
Promotions,promotion_id,0.0
Promotions,promotion_name,0.0
Promotions,promotion_type,0.0
Promotions,discount_value,0.0
Promotions,start_date,0.0
Promotions,end_date,0.0
Promotions,min_order_value,50.0
Promotion_Items,promotion_id,0.0
Promotion_Items,item_id,0.0
Promotion_Locations,promotion_id,0.0
Promotion_Locations,location_id,0.0
Orders,order_id,0.0
Orders,customer_id,0.99
Orders,location_id,0.0
Orders,order_datetime,0.0
Orders,order_channel,0.0
Orders,order_status,0.0
Orders,promotion_id,82.162
Orders,subtotal,0.0
Orders,discount_amount,0.0
Orders,tax_amount,0.0
Orders,total_amount,0.0
Orders,payment_method,0.0
Order_Items,order_item_id,0.0
Order_Items,order_id,0.0
Order_Items,item_id,0.495
Order_Items,quantity,0.0
Order_Items,unit_price,0.0
Order_Items,unit_cost,0.0
Order_Items,discount_amount,0.0
Order_Items,line_total,0.0
Ratings,rating_id,0.0
Ratings,customer_id,0.0
Ratings,item_id,15.0
Ratings,location_id,0.0
Ratings,order_id,0.0
Ratings,rating_value,1.5
Ratings,rating_date,0.0
Ratings,review_text,65.277
Inventory,inventory_id,0.0
Inventory,item_id,0.0
Inventory,location_id,0.0
Inventory,date,0.0
Inventory,opening_stock,0.0
Inventory,received_stock,0.0
Inventory,prepared_quantity,0.0
Inventory,consumed_stock,0.0
Inventory,closing_stock,0.0
Inventory,unit,0.0
Wastage,wastage_id,0.0
Wastage,item_id,0.499
Wastage,location_id,0.0
Wastage,date,0.0
Wastage,quantity_wasted,0.0
Wastage,unit,0.0
Wastage,cost_of_waste,0.0
Wastage,reason,0.0
