order_id,order_item_id,item_id,quantity,unit_price,unit_cost,discount_amount,line_total
ORD00076962,OI000415672,ITEM0012,3,900.00,402.60,0.00,2700.00
ORD00076962,OI000415673,ITEM0041,1,1250.00,495.95,0.00,1250.00
ORD00076962,OI000415674,ITEM0066,1,950.00,343.77,0.00,950.00
ORD00076962,OI000415675,ITEM0092,1,1190.00,465.66,0.00,1190.00
ORD00076962,OI000415676,ITEM0155,1,210.00,93.65,0.00,210.00
ORD00076963,OI000415677,ITEM0003,2,360.00,139.35,0.00,720.00
ORD00076963,OI000415678,ITEM0044,2,1560.00,498.16,0.00,3120.00
ORD00076963,OI000415679,ITEM0068,2,680.00,470.19,0.00,1360.00
ORD00076963,OI000415680,ITEM0148,3,350.00,208.57,0.00,1050.00
ORD00076964,OI000415681,ITEM0027,1,440.00,144.90,0.00,440.00
ORD00076964,OI000415682,ITEM0034,1,1020.00,445.69,0.00,1020.00
ORD00076964,OI000415683,ITEM0099,1,1300.00,471.54,0.00,1300.00
ORD00076964,OI000415684,ITEM0134,2,160.00,105.60,0.00,320.00
ORD00076965,OI000415685,ITEM0027,1,440.00,144.90,0.00,440.00
ORD00076965,OI000415686,ITEM0059,1,730.00,317.89,0.00,730.00
ORD00076965,OI000415687,ITEM0075,1,630.00,269.61,0.00,630.00
ORD00076965,OI000415688,ITEM0134,3,160.00,105.60,0.00,480.00
ORD00076965,OI000415689,ITEM0139,1,400.00,66.93,0.00,400.00
ORD00076965,OI000415690,ITEM0141,1,510.00,166.18,0.00,510.00
ORD00076966,OI000415691,ITEM0001,2,260.00,93.07,0.00,520.00
ORD00076966,OI000415692,ITEM0062,2,790.00,350.53,0.00,1580.00
ORD00076966,OI000415693,ITEM0081,1,1510.00,1047.44,0.00,1510.00
ORD00076967,OI000415694,ITEM0020,1,810.00,323.82,81.00,729.00
ORD00076967,OI000415695,ITEM0136,1,530.00,167.58,53.00,477.00
ORD00076967,OI000415696,ITEM0137,2,330.00,112.52,66.00,594.00
ORD00076968,OI000415697,ITEM0057,1,670.00,446.99,0.00,670.00
