order_id,order_item_id,item_id,quantity,unit_price,unit_cost,discount_amount,line_total
ORD21139989,OI000000287,ITEM0124,2,180.00,123.74,0.00,360.00
ORD62162048,OI000000640,ITEM0123,1,300.00,132.18,0.00,300.00
ORD94756948,OI000000689,ITEM0009,1,450.00,166.20,0.00,450.00
ORD41779397,OI000000916,ITEM0057,1,650.00,425.65,0.00,650.00
ORD81468936,OI000001028,ITEM0066,1,900.00,324.79,0.00,900.00
ORD80009492,OI000001365,ITEM0154,2,350.00,118.60,0.00,700.00
ORD38782300,OI000001519,ITEM0081,1,1450.00,986.58,0.00,1450.00
ORD14496010,OI000001802,ITEM0102,1,1360.00,584.85,0.00,1360.00
ORD17283793,OI000002155,ITEM0002,1,200.00,67.63,0.00,200.00
ORD01917846,OI000002260,ITEM0052,1,750.00,298.46,0.00,750.00
ORD65213186,OI000002396,ITEM0100,1,1200.00,514.56,0.00,1200.00
ORD29913045,OI000002573,ITEM0151,1,60.00,40.23,0.00,60.00
ORD77490688,OI000002789,ITEM0081,2,1450.00,986.58,0.00,2900.00
ORD14548347,OI000002839,ITEM0135,2,100.00,65.34,0.00,200.00
ORD93566679,OI000003330,ITEM0126,2,150.00,64.34,0.00,300.00
ORD88136409,OI000003955,ITEM0051,1,650.00,249.59,0.00,650.00
ORD69637378,OI000004140,ITEM0129,1,550.00,174.84,0.00,550.00
ORD29686467,OI000004274,ITEM0048,2,1400.00,543.12,0.00,2800.00
ORD25603572,OI000004662,ITEM0045,1,1450.00,570.49,0.00,1450.00
ORD00000883,OI000004708,ITEM0020,1,780.00,303.62,0.00,780.00
ORD00000883,OI000004709,ITEM0050,4,1650.00,699.44,0.00,6600.00
ORD00000883,OI000004710,ITEM0075,1,600.00,252.86,0.00,600.00
ORD00000883,OI000004711,ITEM0112,1,300.00,131.51,0.00,300.00
ORD00000883,OI000004712,ITEM0151,2,60.00,40.23,0.00,120.00
ORD91454324,OI000004830,ITEM0055,2,680.00,217.90,0.00,1360.00
ORD13562644,OI000005036,ITEM0092,1,1150.00,434.13,0.00,1150.00
ORD37697948,OI000005298,ITEM0021,1,420.00,168.96,0.00,420.00
ORD00001033,OI000005542,ITEM0048,3,1400.00,543.12,630.00,3570.00
ORD00001033,OI000005543,ITEM0067,2,300.00,102.15,90.00,510.00
ORD00001033,OI000005544,ITEM0081,2,1450.00,986.58,435.00,2465.00
ORD00001033,OI000005545,ITEM0118,1,700.00,312.06,105.00,595.00
ORD00001033,OI000005546,ITEM0134,1,150.00,97.79,22.50,127.50
ORD00001033,OI000005547,ITEM0158,2,350.00,143.84,105.00,595.00
ORD10777566,OI000006180,ITEM0127,1,480.00,73.30,0.00,480.00
ORD10644148,OI000006394,ITEM0135,2,100.00,65.34,0.00,200.00
ORD75594435,OI000006589,ITEM0048,2,1400.00,543.12,0.00,2800.00
ORD53488800,OI000007009,ITEM0066,1,900.00,324.79,135.00,765.00
ORD05936755,OI000007015,ITEM0074,1,1150.00,507.95,172.50,977.50
ORD14081832,OI000007136,ITEM0068,1,650.00,449.04,0.00,650.00
ORD27355831,OI000007457,ITEM0029,1,890.00,295.80,0.00,890.00
ORD56237281,OI000007640,ITEM0147,1,440.00,139.41,0.00,440.00
ORD54737720,OI000008076,ITEM0068,1,650.00,449.04,0.00,650.00
ORD04947242,OI000008147,ITEM0017,3,650.00,279.70,292.50,1657.50
ORD44705743,OI000008814,ITEM0147,3,440.00,139.41,0.00,1320.00
ORD35640463,OI000009282,ITEM0057,2,650.00,425.65,0.00,1300.00
